Market,AIC,BIC,LogLikelihood,Params
SSE_Composite,7325.358465410369,7348.536110233275,-3658.6792327051844,"{'mu': 0.027063131756243735, 'omega': 1.376612782055062, 'alpha[1]': 0.42149387965274865, 'nu': 2.9571122158626495}"
SSE_Composite,7016.75126440646,7045.723320435093,-3503.37563220323,"{'mu': 0.02670525555572753, 'omega': 0.0205177639547022, 'alpha[1]': 0.07743466285336699, 'beta[1]': 0.910841883674512, 'nu': 4.538924611816299}"
SSE_Composite,7014.861609933763,7049.628077168123,-3501.4308049668816,"{'mu': 0.02241452339619911, 'omega': 0.015567439420697882, 'alpha[1]': 0.18369418776857824, 'gamma[1]': -0.030828646273768856, 'beta[1]': 0.9836794613609039, 'nu': 4.476706275909703}"
SSE_Composite,7015.885699526811,7050.6521667611705,-3501.9428497634053,"{'mu': 0.02304445894663805, 'omega': 0.021798582237532022, 'alpha[1]': 0.06245790940350766, 'gamma[1]': 0.030666780312154557, 'beta[1]': 0.908655518066616, 'nu': 4.504277029209617}"
