Model,Actual_Violations,Kupiec_pvalue,Christoffersen_pvalue,DQ_pvalue,Distance_to_0.05
VaR_normal,111,7.82461732840023e-06,0.06563159663645712,0.051038425846006485,0.0499921753826716
VaR_student_t,73,0.8417246491698989,0.10812600281381801,0.08144332525386115,0.7917246491698988
VaR_empirical,72,0.9371620252276284,0.47327249355709866,0.45332494126135836,0.8871620252276283
