Strategy,Ann Return,Volatility,Sharpe,Max DD,Avg Weight,Min Weight,Max Weight,Regime_Status
Static Exposure,0.03971663140168877,0.1743957235289949,0.2277385626092231,-0.3184175743034493,1.0,1.0,1.0,VALID
Volatility-Managed,0.004146014670888309,0.19800709694445878,0.020938717525116137,-0.8144982510818789,1.0596998206530839,0.0,1.9975429078750473,VALID
Regime-Based,0.03132996876259496,0.15127699335462683,0.20710332792740377,-0.33984484135250814,0.9079187105816398,0.4,1.0,VALID
