Model,RMSE,MAE,Correlation,Rank
Machine Learning,0.044294865514499696,0.02705682658743467,0.8732430107470435,1.0
Adaptive Hybrid (RMSE-weighted),0.044658494869410884,0.026637477329568227,0.8785943968748317,2.0
GARCH,0.05071329418033801,0.029530143521254326,0.8338238028033607,3.0
