Date,Weight,Forecast_Vol,Return
2019-02-14,0.0,0.16065932580138675,0.0
2019-02-15,0.0,0.14036084411002345,-0.0
2019-02-18,0.0,0.14960710629606902,0.0
2019-02-19,0.0,0.19154392839439616,0.0
2019-02-20,1.1450617098227078,0.21765140242305203,0.0
2019-02-21,1.080033413983735,0.22095684690736317,-0.003912253484421395
2019-02-22,1.054464069273187,0.20429049015505746,0.02038236455807024
2019-02-25,1.0370180588880582,0.2036932039350955,0.05746303525670612
2019-02-26,1.0040517115020637,0.2236361835634764,-0.0069454007613374774
2019-02-27,0.9227773016256244,0.31185994222513375,0.004192378048220016
2019-02-28,0.8481101604956202,0.3439316508388853,-0.00402934442609644
2019-03-01,0.7923336457678032,0.3399093028983183,0.015162397951207893
2019-03-04,0.750982266035028,0.3350401799989251,0.008834804296501082
2019-03-05,0.7306244434152931,0.3059648370600285,0.006586736739687595
2019-03-06,0.7883108799541383,0.19823406732070178,0.011358224829283023
2019-03-07,0.8762399109837915,0.16453036003211627,0.0010967498667347325
2019-03-08,0.9394016601730992,0.16878530536669512,-0.03939145737523767
2019-03-11,0.9644147763169051,0.1882859302416246,0.017899840591838547
2019-03-12,0.8890839407083965,0.3371608069516526,0.010556010626621716
2019-03-13,0.0,0.37706693262173663,-0.009743810256049952
2019-03-14,0.0,0.3779275745585141,-0.0
2019-03-15,0.7150966247858728,0.36830824227636094,0.0
2019-03-18,0.6906337759467029,0.336981497014389,0.017455145704116538
2019-03-19,0.7134361258203483,0.24872308056083411,-0.0012150615112795982
2019-03-20,0.7433858536824154,0.2318520608364827,-7.737376491578853e-05
2019-03-21,0.7679864178240041,0.23094236972698765,0.002596815505625753
2019-03-22,0.8001717413972268,0.21539563127977263,0.0006667646019103897
2019-03-25,0.0,0.1918455204093188,-0.015911830953402213
2019-03-26,0.0,0.1854213486047596,-0.0
2019-03-27,0.0,0.17323000603369818,0.0
2019-03-28,0.0,0.18367065677468092,-0.0
2019-03-29,0.9787547839717073,0.20145598553527116,0.0
2019-04-01,0.9706921570191883,0.21311346827265862,0.0248888546729239
2019-04-02,0.9128428584979694,0.2934305320836309,0.0019764769339754543
2019-04-03,0.8640807643706225,0.29889500498129495,0.011272159243734195
2019-04-04,0.8399912567381799,0.26893565394844193,0.00809585315732255
2019-04-08,0.8284271446020071,0.25569375427869906,-0.00045574682230439286
2019-04-09,0.846382952348881,0.217820425511626,-0.001314858742714956
2019-04-10,0.8933276166686375,0.1850023627932164,0.0005917658812744015
2019-04-11,1.007499357974434,0.13660171672703422,-0.014436024942545877
2019-04-12,0.0,0.12849810620166638,-0.00042202324912778117
2019-04-15,0.0,0.1499822859202117,-0.0
2019-04-16,1.2261324458949183,0.13436587256380889,0.0
2019-04-17,1.2659116217659867,0.14034915396848308,0.00358242202311595
2019-04-18,1.21322065534163,0.19950756252194707,-0.005021032241108401
2019-04-19,1.1657399349757132,0.20495471341850197,0.007663798623084603
2019-04-22,1.152590789934171,0.181818835954199,-0.02004256651344501
2019-04-23,0.0,0.1823090662111837,-0.005912083367589172
2019-04-24,0.0,0.19961403378924084,0.0
2019-04-25,0.0,0.15878024366638416,-0.0
2019-04-26,0.0,0.15860010792850757,-0.0
2019-05-06,0.0,0.20002344857888632,-0.0
2019-05-07,0.0,0.23279744741751202,0.0
2019-05-08,0.0,0.35279200349195583,-0.0
2019-05-09,0.0,0.4010355784844181,-0.0
2019-05-10,0.0,0.3719187077852166,0.0
2019-05-13,0.7560131726423206,0.3759087499027184,-0.0
2019-05-14,0.0,0.3826308818640817,-0.005251923617112988
2019-05-15,0.7039272954707291,0.2931531502709338,0.0
2019-05-16,0.7181013244506973,0.25813201956319454,0.004068275200719739
2019-05-17,0.0,0.2677491412134175,-0.018061717823370953
2019-05-20,0.0,0.25388842864662314,-0.0
2019-05-21,0.7517022149729913,0.24633149274338412,0.0
2019-05-22,0.0,0.24354374922266206,-0.003698807060689768
2019-05-23,0.0,0.24382032618202962,-0.0
2019-05-24,0.0,0.22627393774364402,0.0
2019-05-27,0.8291574793696079,0.20969667819860038,0.0
2019-05-28,0.8902395383858118,0.1762785955549946,0.005010997825032883
2019-05-29,0.9345602246734529,0.17988152430452348,0.0014627377600097556
2019-05-30,0.9805753648489772,0.17172749192569103,-0.002855179415718374
2019-05-31,1.0329531718141463,0.1609704113870996,-0.0024018611423495323
2019-06-03,1.1329508833928243,0.13046810781773657,-0.00307453125397547
2019-06-04,0.0,0.12870086143180864,-0.010951135039236873
2019-06-05,0.0,0.10052350293449362,-0.0
2019-06-06,0.0,0.09766644830281083,-0.0
2019-06-10,0.0,0.09620250894291482,0.0
2019-06-11,1.6264583365979148,0.11488423836775621,0.0
2019-06-12,1.5535550414996178,0.1584859053885186,-0.009107027022988046
