Date,GARCH,ML,Realized,HAR,Hybrid_Weighted,Forecast_Vol,Realized_Vol,GARCH_Vol,ML_Vol,Rolling_Weight_GARCH,Rolling_Weight_ML
2019-02-14,0.1334235972891213,0.18789505431365225,0.09289216322380478,0.1334235972891213,0.16065932580138675,0.16065932580138675,0.09289216322380478,0.1334235972891213,0.18789505431365225,0.5,0.5
2019-02-15,0.09791626019987844,0.18280542802016844,0.11490527890178445,0.09791626019987844,0.14036084411002345,0.14036084411002345,0.11490527890178445,0.09791626019987844,0.18280542802016844,0.5,0.5
2019-02-18,0.11467264580778119,0.18454156678435685,0.20004882273011687,0.11467264580778119,0.14960710629606902,0.14960710629606902,0.20004882273011687,0.11467264580778119,0.18454156678435685,0.5,0.5
2019-02-19,0.17825703224627598,0.20483082454251633,0.25028723484504795,0.17825703224627598,0.19154392839439616,0.19154392839439616,0.25028723484504795,0.17825703224627598,0.20483082454251633,0.5,0.5
2019-02-20,0.2127092725796161,0.22259353226648795,0.2552864259311879,0.2127092725796161,0.21765140242305203,0.21765140242305203,0.2552864259311879,0.2127092725796161,0.22259353226648795,0.5,0.5
2019-02-21,0.2164148290679842,0.2254988647467421,0.23189418305058399,0.2164148290679842,0.22095684690736317,0.22095684690736317,0.23189418305058399,0.2164148290679842,0.2254988647467421,0.5,0.5
2019-02-22,0.1996647707739787,0.20891620953613624,0.23550572107831658,0.1996647707739787,0.20429049015505746,0.20429049015505746,0.23550572107831658,0.1996647707739787,0.20891620953613624,0.5,0.5
2019-02-25,0.20179186313353417,0.2055945447366568,0.20675637611965325,0.20179186313353417,0.2036932039350955,0.2036932039350955,0.20675637611965325,0.20179186313353417,0.2055945447366568,0.5,0.5
2019-02-26,0.18255723384818467,0.2647151332787681,0.38002472969084566,0.18255723384818467,0.2236361835634764,0.2236361835634764,0.38002472969084566,0.18255723384818467,0.2647151332787681,0.5,0.5
2019-02-27,0.3017143518317662,0.3220055326185013,0.3995798715836913,0.3017143518317662,0.31185994222513375,0.31185994222513375,0.3995798715836913,0.3017143518317662,0.3220055326185013,0.5,0.5
2019-02-28,0.3167558996856674,0.3711074019921033,0.3961083954460135,0.3167558996856674,0.3439316508388853,0.3439316508388853,0.3961083954460135,0.3167558996856674,0.3711074019921033,0.5,0.5
2019-03-01,0.31707726952904597,0.3627413362675906,0.3987108608183407,0.31707726952904597,0.3399093028983183,0.3399093028983183,0.3987108608183407,0.31707726952904597,0.3627413362675906,0.5,0.5
2019-03-04,0.3208946431174411,0.3491857168804091,0.3978965737015199,0.3208946431174411,0.3350401799989251,0.3350401799989251,0.3978965737015199,0.3208946431174411,0.3491857168804091,0.5,0.5
2019-03-05,0.3220935238119932,0.28983615030806387,0.1640676306886211,0.3220935238119932,0.3059648370600285,0.3059648370600285,0.1640676306886211,0.3220935238119932,0.28983615030806387,0.5,0.5
2019-03-06,0.15821769568990848,0.23825043895149509,0.1315059974122476,0.15821769568990848,0.19823406732070178,0.19823406732070178,0.1315059974122476,0.15821769568990848,0.23825043895149509,0.5,0.5
