Feature,Importance_Mean,Importance_Std,Stability_Ratio,Classification
Rolling_Var_5,0.49407253332103857,0.008647036928010155,0.01750151818472635,Stable
Vol_1,0.4178124227400839,0.01091147704982374,0.026115668994702506,Stable
Return_5,0.0222734204354416,0.010759550442687702,0.48304513573640767,Stable
Vol_5,0.019064122130615476,0.005217969351317817,0.2736918922191749,Stable
Rolling_Var_21,0.014696782469585456,0.0021718019003589724,0.14776391641753744,Stable
Lag_1_SqRet,0.013962297858142271,0.003257651146139456,0.23330098514226394,Stable
Vol_10,0.011341134941043215,0.0034627368007880284,0.3052985014538662,Stable
Return_1,0.00356793528692027,0.0008886141167110136,0.24898577454393198,Stable
Lag_1_Ret,0.0032093508171328806,0.0007282244264076132,0.22683640134319658,Stable
