Strategy,Ann Return,Volatility,Sharpe,Max DD,Avg Weight,Min Weight,Max Weight,Regime_Status
Static Exposure,0.08993718328618862,0.3060632304315001,0.2938516435293178,-0.8343573270292859,1.0,1.0,1.0,VALID
Volatility-Managed,-0.012874201639287276,0.21710912761398418,-0.05929829750031218,-0.8293210281074364,0.5637826800416601,0.0,1.6223731022248973,VALID
Regime-Based,0.05273591031196773,0.2553408463830102,0.2065314306699841,-0.839644321835791,0.8961457603363702,0.4,1.0,VALID
