Date,GARCH,ML,Realized,HAR,Hybrid_Weighted,Forecast_Vol,Realized_Vol,GARCH_Vol,ML_Vol,Rolling_Weight_GARCH,Rolling_Weight_ML
2019-02-14,0.29114139160435826,0.34923168987509623,0.26713336557948636,0.29114139160435826,0.32018654073972724,0.32018654073972724,0.26713336557948636,0.29114139160435826,0.34923168987509623,0.5,0.5
2019-02-15,0.24577878345868354,0.34410084418134057,0.23314930757163335,0.24577878345868354,0.29493981382001205,0.29493981382001205,0.23314930757163335,0.24577878345868354,0.34410084418134057,0.5,0.5
2019-02-18,0.2186236397818594,0.3249179545553931,0.2272805255109289,0.2186236397818594,0.27177079716862623,0.27177079716862623,0.2272805255109289,0.2186236397818594,0.3249179545553931,0.5,0.5
2019-02-19,0.21498908337614298,0.3140426183433884,0.26927763009840816,0.21498908337614298,0.2645158508597657,0.2645158508597657,0.26927763009840816,0.21498908337614298,0.3140426183433884,0.5,0.5
2019-02-20,0.24819757621411503,0.30575096774814847,0.3141427788033437,0.24819757621411503,0.2769742719811318,0.2769742719811318,0.3141427788033437,0.24819757621411503,0.30575096774814847,0.5,0.5
2019-02-21,0.28347136718218885,0.3073223801978137,0.31108508508536264,0.28347136718218885,0.2953968736900013,0.2953968736900013,0.31108508508536264,0.28347136718218885,0.3073223801978137,0.5,0.5
2019-02-22,0.28393560474426455,0.3001249663029915,0.3089552648846286,0.28393560474426455,0.29203028552362803,0.29203028552362803,0.3089552648846286,0.28393560474426455,0.3001249663029915,0.5,0.5
2019-02-25,0.2832899125860814,0.3144285414797543,0.3541792417350565,0.2832899125860814,0.29885922703291784,0.29885922703291784,0.3541792417350565,0.2832899125860814,0.3144285414797543,0.5,0.5
2019-02-26,0.31658945338775835,0.37704471172333087,0.44801959330838187,0.31658945338775835,0.3468170825555446,0.3468170825555446,0.44801959330838187,0.31658945338775835,0.37704471172333087,0.5,0.5
2019-02-27,0.38299713617325865,0.43343100086378583,0.4503679112856914,0.38299713617325865,0.40821406851852227,0.40821406851852227,0.4503679112856914,0.38299713617325865,0.43343100086378583,0.5,0.5
2019-02-28,0.3864061060923424,0.4772542243165548,0.49992016642367315,0.3864061060923424,0.4318301652044486,0.4318301652044486,0.49992016642367315,0.3864061060923424,0.4772542243165548,0.5,0.5
2019-03-01,0.42241996117382496,0.4598413169535529,0.4963703173930577,0.42241996117382496,0.44113063906368893,0.44113063906368893,0.4963703173930577,0.42241996117382496,0.4598413169535529,0.5,0.5
2019-03-04,0.42244458031581134,0.43079403105916875,0.4657639373309463,0.42244458031581134,0.42661930568749007,0.42661930568749007,0.4657639373309463,0.42244458031581134,0.43079403105916875,0.5,0.5
2019-03-05,0.40426810157603227,0.38445868326318466,0.33176186181129946,0.40426810157603227,0.3943633924196085,0.3943633924196085,0.33176186181129946,0.40426810157603227,0.38445868326318466,0.5,0.5
2019-03-06,0.31113913277077426,0.36119057037846175,0.3423779596633956,0.31113913277077426,0.336164851574618,0.336164851574618,0.3423779596633956,0.31113913277077426,0.36119057037846175,0.5,0.5
2019-03-07,0.3220320009519341,0.35151250944322604,0.2144187976788066,0.3220320009519341,0.3367722551975801,0.3367722551975801,0.2144187976788066,0.3220320009519341,0.35151250944322604,0.5,0.5
2019-03-08,0.2244711139529211,0.34716251087394207,0.3022312502550812,0.2244711139529211,0.2858168124134316,0.2858168124134316,0.3022312502550812,0.2244711139529211,0.34716251087394207,0.5,0.5
2019-03-11,0.29864542021994517,0.359586024775748,0.42694208394731603,0.29864542021994517,0.3291157224978466,0.3291157224978466,0.42694208394731603,0.29864542021994517,0.359586024775748,0.5,0.5
2019-03-12,0.3968186231932307,0.38963854143640225,0.4643183334203787,0.3968186231932307,0.3932285823148165,0.3932285823148165,0.4643183334203787,0.3968186231932307,0.38963854143640225,0.5,0.5
2019-03-13,0.42694994219094906,0.39683494625555876,0.4257968633838423,0.42694994219094906,0.4118924442232539,0.4118924442232539,0.4257968633838423,0.42694994219094906,0.39683494625555876,0.5,0.5
2019-03-14,0.398771753794166,0.43382073529704823,0.583275073956361,0.398771753794166,0.4162962445456071,0.4162962445456071,0.583275073956361,0.398771753794166,0.43382073529704823,0.5,0.5
2019-03-15,0.5088324946710605,0.4569143795624197,0.5999727989427229,0.5088324946710605,0.48287343711674013,0.48287343711674013,0.5999727989427229,0.5088324946710605,0.4569143795624197,0.5,0.5
2019-03-18,0.5202475792844152,0.4851200461018241,0.578139894939907,0.5202475792844152,0.5026838126931197,0.5026838126931197,0.578139894939907,0.5202475792844152,0.4851200461018241,0.5,0.5
2019-03-19,0.5077084103659354,0.44398637297973287,0.4994857921018166,0.5077084103659354,0.47584739167283413,0.47584739167283413,0.4994857921018166,0.5077084103659354,0.44398637297973287,0.5,0.5
2019-03-20,0.45490439053070775,0.40636181869239313,0.4492033366382127,0.45490439053070775,0.43063310461155047,0.43063310461155047,0.4492033366382127,0.45490439053070775,0.40636181869239313,0.5,0.5
2019-03-21,0.42034369102619124,0.3621759459201476,0.2993881947234474,0.42034369102619124,0.39125981847316943,0.39125981847316943,0.2993881947234474,0.42034369102619124,0.3621759459201476,0.5,0.5
2019-03-22,0.306846572073237,0.3181998309345541,0.2342182889906005,0.306846572073237,0.31252320150389556,0.31252320150389556,0.2342182889906005,0.306846572073237,0.3181998309345541,0.5,0.5
