Date,Position,Strategy_Return,Equity,BuyHold_Return,BuyHold_Equity
2019-03-15,0.0,0.0,1.0,0.003783133195239821,1.0037831331952398
2019-03-18,0.0,0.0,1.0,0.02792608285065159,1.0318148641369367
2019-03-19,0.0,-0.0,1.0,-0.0006121380864615026,1.0311832509604213
2019-03-20,0.0,-0.0,1.0,-0.012323002897304263,1.0184759767711844
2019-03-21,0.0,0.0,1.0,0.00864199139166573,1.0272776373950594
2019-03-22,0.0,-0.0,1.0,-0.0036945378876420214,1.0234823212425759
2019-03-25,0.0,-0.0,1.0,-0.01429039614578241,1.0088563534238144
2019-03-26,0.0,-0.0,1.0,-0.02663445629849677,0.981986012967087
2019-03-27,0.0,0.0,1.0,0.007682473696364897,0.989530094681905
2019-03-28,0.0,-0.0,1.0,-0.007682473696364842,0.9819280557577498
2019-03-29,0.0,0.0,1.0,0.04277379088603724,1.0239288410798648
2019-04-01,0.0,0.0,1.0,0.04220038664286404,1.0671390340682148
2019-04-02,0.0,-0.0,1.0,-0.007109013676440943,1.0595527280803598
2019-04-03,0.0,0.0,1.0,0.01064469318016174,1.0708313417789788
2019-04-04,0.0,0.0,1.0,0.000588019725277587,1.0714610117303904
2019-04-08,0.0,-0.0,1.0,-0.021391198315380066,1.0485411767412678
2019-04-09,0.0,0.0,1.0,0.0012005364285743397,1.0497999886208058
2019-04-10,0.0,-0.0,1.0,-0.0078290138254013,1.0415810899959874
2019-04-11,0.0,-0.0,1.0,-0.021387974347251596,1.0193037803625709
2019-04-12,0.0,0.0,1.0,0.003083564187596353,1.0224468689959785
2019-04-15,0.0,-0.0,1.0,-0.01739174142406677,1.0046647374305537
2019-04-16,0.0,0.0,1.0,0.020465826465631495,1.0252260316029467
2019-04-17,0.0,0.0,1.0,0.007948688630223502,1.0333752341037583
2019-04-18,0.14153213123884223,-0.0011249948423894898,0.9988750051576105,-0.00794868863022353,1.0251612561296832
