Forecast_Vol,Realized_Vol
0.32018654073972724,0.26713336557948636
0.29493981382001205,0.23314930757163335
0.27177079716862623,0.2272805255109289
0.2645158508597657,0.26927763009840816
0.2769742719811318,0.3141427788033437
0.2953968736900013,0.31108508508536264
0.29203028552362803,0.3089552648846286
0.29885922703291784,0.3541792417350565
0.3468170825555446,0.44801959330838187
0.40821406851852227,0.4503679112856914
0.4318301652044486,0.49992016642367315
0.44113063906368893,0.4963703173930577
0.42661930568749007,0.4657639373309463
0.3943633924196085,0.33176186181129946
0.336164851574618,0.3423779596633956
0.3367722551975801,0.2144187976788066
0.2858168124134316,0.3022312502550812
0.3291157224978466,0.42694208394731603
0.3932285823148165,0.4643183334203787
0.4118924442232539,0.4257968633838423
0.4162962445456071,0.583275073956361
0.48287343711674013,0.5999727989427229
0.5026838126931197,0.578139894939907
0.47584739167283413,0.4994857921018166
0.43063310461155047,0.4492033366382127
0.39125981847316943,0.2993881947234474
0.31252320150389556,0.2342182889906005
0.26464954762486553,0.24347103313469626
0.2501006828223289,0.14753849059860016
0.20975734023940978,0.20807325305386473
0.23594025095527932,0.2382291305319332
0.25779552603309197,0.20191258578827645
0.258377453567916,0.4245179966948968
0.3853173793521397,0.4865219595249553
0.4349837395824244,0.4021025651547844
0.4083610124950452,0.39897825814073984
0.3983479215680399,0.37118666473032186
0.3698807272473701,0.3788589871081626
0.33960221254122697,0.18976321414302982
0.22758860306232503,0.19076062391406867
0.21795474895348993,0.17773744114411757
0.2180228534796846,0.18750873994285427
0.2277465856328358,0.17278553852143672
0.21975038983170925,0.26837114685360636
0.259561636672049,0.2795957542095288
0.2566750907108388,0.2313557801805799
0.2336940391210554,0.23946361231794797
0.2282232213359071,0.21669234736956342
0.21292948979887344,0.16543110187784513
0.1853249727012054,0.23633734596514747
0.2372658947769957,0.3201225743576665
0.2946912666428748,0.2966576919894616
0.3517173443263015,0.7952019723961968
0.5519050334026491,0.8309294204201886
0.6,0.7444108378390875
0.5979346378885534,0.7615464343618064
0.6,0.8888745318816111
0.5635418794299392,0.3625482374237766
0.39636891283106757,0.360473105658977
0.3631388735425591,0.36987002694395027
0.3676546198913799,0.35318086843529173
0.376443633487598,0.3429276228493114
0.3758363338137567,0.3322197909413336
0.36667335875736673,0.36201669046045654
0.3637657169949292,0.30822818534636426
0.3434025832156574,0.32340280763243295
0.33746017506820325,0.2318674513133656
0.2877325649805526,0.3416545196472685
0.3191189522284088,0.32155561547104705
0.315894714953646,0.3209215465656816
0.30871788182571697,0.2483136227842788
0.2740235904170369,0.2341719397679663
0.2494072376920346,0.09055654019339232
0.16733982358960783,0.08329585967771673
0.14678302384742212,0.07314234951260107
0.1483342807109693,0.13819691115616062
0.18730390235271538,0.17803020129978164
0.23218666252582737,0.3634244198902002
0.3259268813892712,0.37371619567658315
0.3426931050555243,0.3698473913573033
0.3347310358278453,0.352768992465458
0.32222468581312286,0.35597295781903854
0.2975396129043283,0.17952807428533826
0.2062692658927575,0.19184834014602367
0.193048784818734,0.2250272966175772
0.21320185487166637,0.16253622196587542
0.194581465876131,0.18633618224647985
0.21105712280633407,0.24614401880846717
0.23579460801419522,0.2400063150756515
0.2316164317029273,0.23012960672781985
0.21716762321028066,0.177564056633308
0.21060895388792322,0.31090758590699025
0.27998196872620296,0.27257180926864066
0.2877029866916642,0.32588751869333793
0.30621450932169003,0.32610346752150426
0.3040327064491364,0.32033305105509896
0.2915606122734371,0.23716238023462016
0.24801864385896752,0.2612051779873567
0.24575138038752356,0.24941821377259935
0.23917750588049527,0.24951079640146134
0.23762550281261086,0.23253414802544622
0.22303097172791775,0.12111087086200464
0.16169692243991474,0.12265794439257155
0.14912272309901647,0.10458204266164725
0.13986187322006838,0.17717557133665296
0.1800771605838281,0.18874098026222813
0.19347192048972062,0.1874456368851556
0.19955254754570612,0.225737107199212
0.22256910821473458,0.24304626065291818
0.22864799904154165,0.19945782473568205
