Market,Model_Type,MSE,RMSE,QLIKE,Correlation
ChiNext,HYBRID,0.0136427918850275,0.1168023624976292,0.0367669061699138,0.7523783365109795
ChiNext,RF_ML,0.01615733751287357,0.1271115160513538,0.046528327423287635,0.6637998184669684
