Strategy,Return_crisis,Sharpe_crisis,Drawdown_crisis
Static,0.2808259159398313,0.6997112120501163,0.3409615353630978
Vol-managed,0.10624115826796995,0.36243418439972286,0.39900747476388465
Regime-based,0.1510307654894323,0.6080174162056962,0.21876719741546463
