Date,GARCH,ML,Realized,HAR,Hybrid_Weighted,Forecast_Vol,Realized_Vol,GARCH_Vol,ML_Vol,Rolling_Weight_GARCH,Rolling_Weight_ML,Log_Return,VaR_normal,VaR_student_t
2023-06-29,0.17739267364411732,0.21085051759930307,0.17504711958064242,0.17739267364411732,0.1941215956217102,0.1941215956217102,0.17504711958064242,0.17739267364411732,0.21085051759930307,0.5,0.5,0.0014101158944096212,-0.02011411083200014,-0.02376220162597792
2023-06-30,0.17360265011477163,0.21353241213816906,0.17521191061434274,0.17360265011477163,0.19356753112647035,0.19356753112647035,0.17521191061434274,0.17360265011477163,0.21353241213816906,0.5,0.5,0.016306015127099765,-0.020056700863626258,-0.023694379227302907
2023-07-03,0.1757082312139918,0.19797542752611488,0.16214632791704614,0.1757082312139918,0.18684182937005334,0.18684182937005334,0.16214632791704614,0.1757082312139918,0.19797542752611488,0.5,0.5,0.00322951580384316,-0.01935981028780812,-0.022871093797877454
2023-07-04,0.16934858738194034,0.17190316702640918,0.12627542328260735,0.16934858738194034,0.17062587720417477,0.17062587720417477,0.12627542328260735,0.16934858738194034,0.17190316702640918,0.5,0.5,0.0013809074512359536,-0.017679577554987863,-0.020886117712714234
2023-07-05,0.14095977600647733,0.14638591297370304,0.12702769304266753,0.14095977600647733,0.14367284449009018,0.14367284449009018,0.12702769304266753,0.14095977600647733,0.14638591297370304,0.5,0.5,-0.00831419394526916,-0.014886811064823122,-0.017586827926163413
2023-07-06,0.14281289094346095,0.14458101879067073,0.13976505931317315,0.14281289094346095,0.14369695486706585,0.14369695486706585,0.13976505931317315,0.14281289094346095,0.14458101879067073,0.5,0.5,-0.008851590550659502,-0.014889309286585294,-0.01758977924972501
2023-07-07,0.15482304656562298,0.15351214327024462,0.16322317711906154,0.15482304656562298,0.1541675949179338,0.1541675949179338,0.16322317711906154,0.15482304656562298,0.15351214327024462,0.5,0.5,-0.00893075402068564,-0.01597423553495363,-0.018871478275765463
2023-07-10,0.17530562394952087,0.1472214394485523,0.09631290757734022,0.17530562394952087,0.16126353169903657,0.16126353169903657,0.09631290757734022,0.17530562394952087,0.1472214394485523,0.5,0.5,0.012667281900020404,-0.01670948839754655,-0.01974008374945187
2023-07-11,0.11604208208809724,0.14802750632294176,0.15071782204362552,0.11604208208809724,0.1320347942055195,0.1320347942055195,0.15071782204362552,0.11604208208809724,0.14802750632294176,0.5,0.5,0.007431540215198933,-0.0136809223920944,-0.016162227553857846
2023-07-12,0.16422508227349958,0.14432211407801165,0.1656830500277116,0.16422508227349958,0.15427359817575562,0.15427359817575562,0.1656830500277116,0.16422508227349958,0.14432211407801165,0.5,0.5,-0.010232682137277469,-0.015985219172655312,-0.01888445401284049
2023-07-13,0.1752810131019484,0.1591252638977593,0.1713364998681779,0.1752810131019484,0.16720313849985385,0.16720313849985385,0.1713364998681779,0.1752810131019484,0.1591252638977593,0.5,0.5,0.019903450005771914,-0.01732492692774983,-0.020467144197971413
2023-07-14,0.17879642123049688,0.17751177709394148,0.2114127296450224,0.17879642123049688,0.1781540991622192,0.1781540991622192,0.2114127296450224,0.17879642123049688,0.17751177709394148,0.5,0.5,-0.005975661057152781,-0.018459622095354643,-0.021807638718552076
2023-07-17,0.21011229811854598,0.18726655130834582,0.20064480600118756,0.21011229811854598,0.19868942471344592,0.19868942471344592,0.20064480600118756,0.21011229811854598,0.18726655130834582,0.5,0.5,-0.007868571259089817,-0.020587411189534045,-0.024321344340229818
2023-07-18,0.19866967792626283,0.19153768991698494,0.2026072995965815,0.19866967792626283,0.1951036839216239,0.1951036839216239,0.2026072995965815,0.19866967792626283,0.19153768991698494,0.5,0.5,-0.002326065711958077,-0.020215870931632587,-0.023882417927118055
2023-07-19,0.19928855370415133,0.1763140626942015,0.1936819826745154,0.19928855370415133,0.1878013081991764,0.1878013081991764,0.1936819826745154,0.19928855370415133,0.1763140626942015,0.5,0.5,-0.010299751167024564,-0.019459227683632268,-0.02298854249965873
2023-07-20,0.19281871836348766,0.17145150656264274,0.19387734606108237,0.19281871836348766,0.18213511246306519,0.18213511246306519,0.19387734606108237,0.19281871836348766,0.17145150656264274,0.5,0.5,-0.010406941027475806,-0.018872118924985727,-0.022294949985634114
2023-07-21,0.1921997539305368,0.15886814462842322,0.05350458927550665,0.1921997539305368,0.17553394927948002,0.17553394927948002,0.05350458927550665,0.1921997539305368,0.15886814462842322,0.5,0.5,0.003323036421451238,-0.018188132542793115,-0.021486909179911463
2023-07-24,0.0708412934592282,0.15032894327763266,0.09413075057387602,0.0708412934592282,0.11058511836843044,0.11058511836843044,0.09413075057387602,0.0708412934592282,0.15032894327763266,0.5,0.5,-0.00952387286095172,-0.011458391942991532,-0.013536597363561935
2023-07-25,0.1114002513862725,0.14188457912232152,0.09741374484684993,0.1114002513862725,0.126642415254297,0.126642415254297,0.09741374484684993,0.1114002513862725,0.14188457912232152,0.5,0.5,0.021770857791544383,-0.013122185444122891,-0.015502152638069871
2023-07-26,0.11528286768090631,0.16475244033671407,0.2223606060592644,0.11528286768090631,0.1400176540088102,0.1400176540088102,0.2223606060592644,0.11528286768090631,0.16475244033671407,0.5,0.5,-0.00046824048721877805,-0.014508074705186917,-0.017139400256308546
2023-07-27,0.21627151270150935,0.1772410838769514,0.20695274211752712,0.21627151270150935,0.19675629828923036,0.19675629828923036,0.20695274211752712,0.21627151270150935,0.1772410838769514,0.5,0.5,-0.002814280491402141,-0.020387108286477794,-0.024084712554293793
2023-07-28,0.20383744619839517,0.1841862833927891,0.18676341049286097,0.20383744619839517,0.19401186479559213,0.19401186479559213,0.18676341049286097,0.20383744619839517,0.1841862833927891,0.5,0.5,0.015843834629787897,-0.020102740958436324,-0.02374876960154781
2023-07-31,0.18465452464135632,0.18493148691651187,0.21011255790920566,0.18465452464135632,0.1847930057789341,0.1847930057789341,0.21011255790920566,0.18465452464135632,0.18493148691651187,0.5,0.5,0.008745655219490441,-0.01914751930258823,-0.022620299654586416
2023-08-01,0.19998889232227274,0.19532518059286144,0.16620606397160423,0.19998889232227274,0.1976570364575671,0.1976570364575671,0.16620606397160423,0.19998889232227274,0.19532518059286144,0.5,0.5,-0.006436775912165746,-0.020480439207700204,-0.024194970879235347
2023-08-02,0.16540469102483785,0.19083530780334226,0.14481096422174836,0.16540469102483785,0.17811999941409007,0.17811999941409007,0.14481096422174836,0.16540469102483785,0.19083530780334226,0.5,0.5,-0.0018466988100125981,-0.018456088814520967,-0.021803464607537567
2023-08-03,0.14970973771833992,0.16971361752130942,0.1471864722184593,0.14970973771833992,0.1597116776198247,0.1597116776198247,0.1471864722184593,0.14970973771833992,0.16971361752130942,0.5,0.5,0.010572381415676561,-0.016548691424678127,-0.019550123073483652
2023-08-04,0.15294039804729692,0.15221399881113626,0.14627856619548593,0.15294039804729692,0.15257719842921658,0.15257719842921658,0.14627856619548593,0.15294039804729692,0.15221399881113626,0.5,0.5,0.007743131294758273,-0.015809444950276898,-0.018676799667704816
2023-08-07,0.1531540187769903,0.14683524536664116,0.11840612400172607,0.1531540187769903,0.14999463207181574,0.14999463207181574,0.11840612400172607,0.1531540187769903,0.14683524536664116,0.5,0.5,-0.008658087200161603,-0.015541849653744388,-0.018360670685246758
2023-08-08,0.13142016776024476,0.14287216931373498,0.13543631035395975,0.13142016776024476,0.13714616853698985,0.13714616853698985,0.13543631035395975,0.13142016776024476,0.14287216931373498,0.5,0.5,-0.0036679990800196982,-0.014210542754413002,-0.016787905016796768
2023-08-09,0.14625848715831577,0.13638055782764116,0.12801535244197434,0.14625848715831577,0.14131952249297847,0.14131952249297847,0.12801535244197434,0.14625848715831577,0.13638055782764116,0.5,0.5,-0.0013790031751742926,-0.014642969160877865,-0.017298760482625648
2023-08-10,0.1406154643786091,0.13663405431639777,0.12744137359831406,0.1406154643786091,0.13862475934750346,0.13862475934750346,0.12744137359831406,0.1406154643786091,0.13663405431639777,0.5,0.5,0.004589264764777615,-0.014363748477571202,-0.016968897620165898
2023-08-11,0.14036382874708933,0.1314303711847808,0.10378059434633298,0.14036382874708933,0.13589709996593508,0.13589709996593508,0.10378059434633298,0.14036382874708933,0.1314303711847808,0.5,0.5,-0.025505703146956604,-0.014081119216580954,-0.01663500796721803
2023-08-14,0.1198982980759279,0.15791265510887129,0.18137807052734434,0.1198982980759279,0.1389054765923996,0.1389054765923996,0.18137807052734434,0.1198982980759279,0.15791265510887129,0.5,0.5,-0.007543662806032321,-0.014392835286579808,-0.0170032598957888
2023-08-15,0.1832620035235254,0.1770409184010133,0.1808788132830651,0.1832620035235254,0.18015146096226936,0.18015146096226936,0.1808788132830651,0.1832620035235254,0.1770409184010133,0.5,0.5,-0.008077953387374678,-0.018666580813621634,-0.022052133483087745
2023-08-16,0.18117547555814117,0.2075416512048116,0.17891834851770635,0.18117547555814117,0.1943585633814764,0.1943585633814764,0.17891834851770635,0.18117547555814117,0.2075416512048116,0.5,0.5,-0.0067017670911199865,-0.020138664492649193,-0.02379120857736005
2023-08-17,0.17805706758640485,0.20702558203463237,0.17110990392010222,0.17805706758640485,0.1925413248105186,0.1925413248105186,0.17110990392010222,0.17805706758640485,0.20702558203463237,0.5,0.5,0.00574718228632106,-0.019950369429921292,-0.023568762490476694
2023-08-18,0.17061243951828392,0.2125776599272585,0.17685433055557367,0.17061243951828392,0.1915950497227712,0.1915950497227712,0.17685433055557367,0.17061243951828392,0.2125776599272585,0.5,0.5,-0.013945906601459874,-0.0198523201534791,-0.023452930043516427
2023-08-21,0.17329161171351343,0.19867045816331075,0.11454765548602583,0.17329161171351343,0.1859810349384121,0.1859810349384121,0.11454765548602583,0.17329161171351343,0.19867045816331075,0.5,0.5,-0.014634393050861156,-0.01927061817836687,-0.02276572493988064
2023-08-22,0.12401073272470027,0.18846513712888976,0.1301578417387498,0.12401073272470027,0.15623793492679502,0.15623793492679502,0.1301578417387498,0.12401073272470027,0.18846513712888976,0.5,0.5,0.0014731261387040233,-0.016188755966154444,-0.01912490621904674
2023-08-23,0.1385933851867905,0.17110156012691669,0.14446569738418558,0.1385933851867905,0.1548474726568536,0.1548474726568536,0.14446569738418558,0.1385933851867905,0.17110156012691669,0.5,0.5,-0.025343029400306756,-0.016044681773297414,-0.0189547013291382
