Date,Forecast_Vol,Realized_Vol
2019-02-14,0.34923168987509623,0.3841562302179584
2019-02-15,0.34410084418134057,0.2879443638422065
2019-02-18,0.3249179545553931,0.32987046857273206
2019-02-19,0.3140426183433884,0.3256351919698308
2019-02-20,0.30575096774814847,0.30019074918399113
2019-02-21,0.3073223801978137,0.30199198430074026
2019-02-22,0.3001249663029915,0.3998521619467016
2019-02-25,0.3144285414797543,0.5012436559880061
2019-02-26,0.37704471172333087,0.5017632044572016
2019-02-27,0.43343100086378583,0.5118225367313893
2019-02-28,0.4772542243165548,0.5138059276425807
2019-03-01,0.4598413169535529,0.46450607042385567
2019-03-04,0.43079403105916875,0.3253223859581233
2019-03-05,0.38445868326318466,0.414466292939396
2019-03-06,0.36119057037846175,0.4112297723186816
2019-03-07,0.35151250944322604,0.41164405152829714
2019-03-08,0.34716251087394207,0.4192263932845104
2019-03-11,0.359586024775748,0.4616385356877752
2019-03-12,0.38963854143640225,0.4113183883627894
2019-03-13,0.39683494625555876,0.522751397788226
2019-03-14,0.43382073529704823,0.541891145549989
2019-03-15,0.4569143795624197,0.5172008414229656
2019-03-18,0.4851200461018241,0.4491457845198496
2019-03-19,0.44398637297973287,0.41936925211320003
2019-03-20,0.40636181869239313,0.2679611735158597
2019-03-21,0.3621759459201476,0.22685480769011343
2019-03-22,0.3181998309345541,0.22678120391471007
2019-03-25,0.2747443944229582,0.1497228109125356
2019-03-26,0.2349011319716899,0.24114623238036423
2019-03-27,0.23968697133151995,0.23124136973374473
2019-03-28,0.23276687637901458,0.22952804834088747
2019-03-29,0.24968614507941278,0.37974581345126307
2019-04-01,0.2851938266043021,0.47293805752791157
2019-04-02,0.35686000501956755,0.4364218766747296
2019-04-03,0.41666376031657687,0.43954547502714303
2019-04-04,0.4315303050202946,0.436168571790743
2019-04-08,0.41550240155596496,0.3479849514270589
2019-04-09,0.3819006027802832,0.17722919236714918
2019-04-10,0.31311907461620364,0.17875194511178777
2019-04-11,0.24260599057913468,0.22202862417198524
2019-04-12,0.2219770513052819,0.22306614498204544
2019-04-15,0.2333221829773042,0.20479483874988755
2019-04-16,0.24311079745121925,0.250954832081243
2019-04-17,0.24027784590648005,0.25114436624261677
2019-04-18,0.24059183455435051,0.20785234516403195
2019-04-19,0.2304929399633403,0.21803260164917534
2019-04-22,0.2276527689403043,0.20152762400728602
2019-04-23,0.2128760952092635,0.15258242050534745
2019-04-24,0.20234022193882975,0.21152765261948284
2019-04-25,0.18981075151781912,0.29275221172290355
2019-04-26,0.23339498602592032,0.28722251382019376
2019-05-06,0.28178118463458873,0.8246072491296866
2019-05-07,0.4139787543755689,0.8252412351724342
2019-05-08,0.5038100668052982,0.8156546677457505
2019-05-09,0.6,0.7897271994267604
2019-05-10,0.6,0.8358357878856565
2019-05-13,0.6,0.32645461613908877
2019-05-14,0.5270837588598782,0.3227889577612871
2019-05-15,0.4563388391305643,0.34413130062639374
2019-05-16,0.38708235758890036,0.34168842560841894
2019-05-17,0.38547393096328086,0.325184826848502
2019-05-20,0.40927507701877386,0.30666428660047396
2019-05-21,0.4083010416225034,0.32380517860228303
