Market,AIC,BIC,LogLikelihood,Params
ChiNext,9851.473559109996,9874.651203932903,-4921.736779554998,"{'mu': -0.009346412582840814, 'omega': 3.294316744468183, 'alpha[1]': 0.35783349538515513, 'nu': 3.5138154217379576}"
ChiNext,9553.73915602182,9582.711212050453,-4771.86957801091,"{'mu': -0.02071615387938549, 'omega': 0.05682234184779149, 'alpha[1]': 0.08091634511845712, 'beta[1]': 0.9058843457368594, 'nu': 5.793191851322383}"
ChiNext,9547.006761918501,9581.773229152861,-4767.5033809592505,"{'mu': -0.03145162445676956, 'omega': 0.02253878817731107, 'alpha[1]': 0.17113091751848772, 'gamma[1]': -0.018060951023954063, 'beta[1]': 0.9879164056082647, 'nu': 5.595206800063637}"
ChiNext,9553.580985063723,9588.347452298083,-4770.790492531862,"{'mu': -0.027230147043546017, 'omega': 0.05911234930653812, 'alpha[1]': 0.07154556218763362, 'gamma[1]': 0.026385806546163192, 'beta[1]': 0.9023877731974784, 'nu': 5.78508826223142}"
