Market,Vol_Corr,RMSE,Best_Model,Regime_Capture_Avg,Regime_Status,Crisis_Performance_Sharpe
CSI_300,0.8797080540527913,0.06752401287977859,ML,,VALID,-0.3671725014730049
SSE_Composite,0.8785943968748311,0.0446584948694109,ML,0.2147655907696801,VALID,0.7718235411994117
ChiNext,0.7523783365109795,0.11680236249762924,ML,0.201803709653863,VALID,0.6080174162056962
