Date,GARCH,ML,Realized,HAR,Hybrid_Weighted,Forecast_Vol,Realized_Vol,GARCH_Vol,ML_Vol,Rolling_Weight_GARCH,Rolling_Weight_ML,Log_Return,VaR_normal,VaR_student_t
2023-11-09,0.12732833658644954,0.1278799119270987,0.12961598620270512,0.12732833658644954,0.12760412425677412,0.12760412425677412,0.12961598620270512,0.12732833658644954,0.1278799119270987,0.5,0.5,0.0004872741219451954,-0.013221833921676376,-0.015619874332810688
2023-11-10,0.13019431383227065,0.12377633933658214,0.11661886602396554,0.13019431383227065,0.1269853265844264,0.1269853265844264,0.11661886602396554,0.13019431383227065,0.12377633933658214,0.5,0.5,-0.0073174147478127114,-0.013157716557895582,-0.015544128020253756
2023-11-13,0.1205253013498094,0.1198263582450782,0.12611842014616662,0.1205253013498094,0.1201758297974438,0.1201758297974438,0.12611842014616662,0.1205253013498094,0.1198263582450782,0.5,0.5,-0.0019760478168334753,-0.012452143472918328,-0.014710585337351798
2023-11-14,0.12760380123105122,0.10884363653622241,0.04524151032627312,0.12760380123105122,0.11822371888363681,0.11822371888363681,0.04524151032627312,0.12760380123105122,0.10884363653622241,0.5,0.5,0.0007401124674648992,-0.012249873472247267,-0.014471629681843234
2023-11-15,0.058132767703252416,0.10022309840639765,0.05149374757415161,0.058132767703252416,0.07917793305482504,0.07917793305482504,0.05149374757415161,0.058132767703252416,0.10022309840639765,0.5,0.5,0.007007638920677614,-0.008204103803149069,-0.009692079871645757
2023-11-16,0.06527174668474567,0.09391478687894599,0.08214865006330858,0.06527174668474567,0.07959326678184583,0.07959326678184583,0.08214865006330858,0.06527174668474567,0.09391478687894599,0.5,0.5,-0.009719237314466705,-0.008247139038826009,-0.009742920396276358
2023-11-17,0.09530693085952874,0.09995609615521296,0.1053557536343731,0.09530693085952874,0.09763151350737084,0.09763151350737084,0.1053557536343731,0.09530693085952874,0.09995609615521296,0.5,0.5,-0.0012016193627229423,-0.010116190715895555,-0.011950961466092931
2023-11-20,0.11589785875877752,0.09774691807574502,0.0953013497233249,0.11589785875877752,0.10682238841726127,0.10682238841726127,0.0953013497233249,0.11589785875877752,0.09774691807574502,0.5,0.5,0.002309505362703088,-0.011068512769444091,-0.013076005910676782
2023-11-21,0.10785273666120043,0.09672325598472897,0.09745282894922576,0.10785273666120043,0.1022879963229647,0.1022879963229647,0.09745282894922576,0.10785273666120043,0.09672325598472897,0.5,0.5,0.0013272996459927282,-0.010598677021142493,-0.012520956180888424
2023-11-22,0.10703528927491443,0.08850534774412865,0.09788752559653623,0.10703528927491443,0.09777031850952153,0.09777031850952153,0.09788752559653623,0.10703528927491443,0.08850534774412865,0.5,0.5,-0.010287143689348457,-0.01013057314041846,-0.011967952427027678
2023-11-23,0.10522733420380327,0.09874991221125624,0.09625992742138133,0.10522733420380327,0.10198862320752976,0.10198862320752976,0.09625992742138133,0.10522733420380327,0.09874991221125624,0.5,0.5,0.004812911678482681,-0.010567657164723663,-0.012484310261573886
2023-11-24,0.10288722353789395,0.09957135445456879,0.09245511265884547,0.10288722353789395,0.10122928899623138,0.10122928899623138,0.09245511265884547,0.10288722353789395,0.09957135445456879,0.5,0.5,-0.006623000566441769,-0.010488977961435284,-0.012391361032650709
2023-11-27,0.09954956931281864,0.10181111856528186,0.10215136436912121,0.09954956931281864,0.10068034393905025,0.10068034393905025,0.10215136436912121,0.09954956931281864,0.10181111856528186,0.5,0.5,-0.007395850289109238,-0.010432098448955193,-0.012324165298510228
2023-11-28,0.10658260438601565,0.09798616140946619,0.10143387273977675,0.10658260438601565,0.10228438289774092,0.10228438289774092,0.10143387273977675,0.10658260438601565,0.09798616140946619,0.5,0.5,0.0018718775394219215,-0.010598302612333408,-0.012520513865655784
2023-11-29,0.10574610798973441,0.1026834180450613,0.10317048089725939,0.10574610798973441,0.10421476301739785,0.10421476301739785,0.10317048089725939,0.10574610798973441,0.1026834180450613,0.5,0.5,-0.008623057158293866,-0.010798320954189273,-0.012756809479604144
