Market,AIC,BIC,LogLikelihood,Params
CSI_300,2714.730711899689,2734.045560186256,-1353.3653559498446,"{'mu': -0.052363917317821744, 'omega': 1.053311576549563, 'alpha[1]': 0.14503866374938382, 'nu': 5.066222855160754}"
CSI_300,2681.559844255446,2705.7034046136546,-1335.779922127723,"{'mu': -0.056783753992674366, 'omega': 0.05804652969612202, 'alpha[1]': 0.07095595267016362, 'beta[1]': 0.8788662698384294, 'nu': 6.49928379080582}"
CSI_300,2687.2006619062154,2716.1729343360653,-1337.6003309531077,"{'mu': -0.06603731016142597, 'omega': 0.012989428267127507, 'alpha[1]': 0.18885436695333108, 'gamma[1]': -0.021762999120222108, 'beta[1]': 0.9551392162143413, 'nu': 6.142312082932723}"
CSI_300,2681.303339426743,2710.275611856593,-1334.6516697133716,"{'mu': -0.06496790040288761, 'omega': 0.053669684071019866, 'alpha[1]': 0.0531131013392573, 'gamma[1]': 0.043698452125301324, 'beta[1]': 0.8809965865599457, 'nu': 6.446197416380731}"
