Feature,Importance_Mean,Importance_Std,Stability_Ratio,Classification
Rolling_Var_5,0.47847434628445024,0.003221765710142682,0.00673339961015957,Stable
Vol_1,0.4063542426601774,0.007608017050019438,0.018722576335459745,Stable
Return_5,0.025459176149653446,0.011607194962806768,0.4558960980701919,Stable
Rolling_Var_21,0.022716418154733124,0.004644012364428088,0.20442518303782325,Stable
Vol_5,0.020212169389058846,0.005569508854423377,0.2755386227277196,Stable
Vol_10,0.017851557637835715,0.00595214912985333,0.33340596068087613,Stable
Lag_1_SqRet,0.015467758746662763,0.0011352567120932106,0.07339029140512851,Stable
Return_1,0.007448155116524316,0.0020082424406797673,0.269593317532739,Stable
Lag_1_Ret,0.0060161758609016845,0.0015178991986176313,0.2522610662720719,Stable
