Strategy,Ann Return,Volatility,Sharpe,Max DD,Avg Weight,Min Weight,Max Weight,Regime_Status
Static Exposure,0.09250820185559731,0.20245764090829083,0.4569262065910451,-0.1555519185776974,1.0,1.0,1.0,VALID
Volatility-Managed,0.07290688461685355,0.2647527496726798,0.27537725182076517,-0.36146779404114276,0.9497934961802763,0.0,1.9984167053686157,VALID
Regime-Based,0.11241552562511511,0.173088882290843,0.6494670491673877,-0.1317030977527556,0.9093525179856116,0.4,1.0,VALID
