Date,Forecast_Vol,Realized_Vol,Std_Residuals
2023-11-09,0.12732833658644954,0.12961598620270512,0.0038269099930105573
2023-11-10,0.13019431383227065,0.11661886602396554,-0.05620379239604745
2023-11-13,0.1205253013498094,0.12611842014616662,-0.016395293193628414
2023-11-14,0.12760380123105122,0.04524151032627312,0.005800081207016484
2023-11-15,0.058132767703252416,0.05149374757415161,0.12054539964439975
2023-11-16,0.06527174668474567,0.08214865006330858,-0.14890417859303823
2023-11-17,0.09530693085952874,0.1053557536343731,-0.012607889329844177
2023-11-20,0.11589785875877752,0.0953013497233249,0.019927073616081294
2023-11-21,0.10785273666120043,0.09745282894922576,0.012306591042713042
2023-11-22,0.10703528927491443,0.09788752559653623,-0.09610982319885406
2023-11-23,0.10522733420380327,0.09625992742138133,0.04573822246393563
2023-11-24,0.10288722353789395,0.09245511265884547,-0.06437145152709817
2023-11-27,0.09954956931281864,0.10215136436912121,-0.07429313453820796
2023-11-28,0.10658260438601565,0.10143387273977675,0.01756269115938973
2023-11-29,0.10574610798973441,0.10317048089725939,-0.08154490512011961
2023-11-30,0.106579471572354,0.09677656767121319,0.0211978455338168
2023-12-01,0.10163093537817483,0.08437351493357322,-0.037558898313652445
2023-12-04,0.09135599459063098,0.08051739704112001,-0.07170283422525267
2023-12-05,0.08841595867412655,0.0778836152753759,-0.2174182717395736
2023-12-06,0.08636812787095911,0.12497740882386882,0.01820154835953187
2023-12-07,0.1246520755043382,0.13790665795604531,-0.019657645292107055
2023-12-08,0.13312096463448111,0.1254522368547243,0.018097404322322794
2023-12-11,0.12212530679940461,0.13956432763936763,0.04800905589736111
2023-12-12,0.1308651497922538,0.1567888835038697,0.016407653582031386
2023-12-13,0.14139389188302143,0.04699737275801979,-0.11902813762464162
2023-12-14,0.055550157801235435,0.14161631592069523,-0.09454165542834364
2023-12-15,0.13262103580523077,0.14384060521781158,-0.02345368257822763
2023-12-18,0.13498023373932308,0.13757898667666282,-0.0270532457593905
2023-12-19,0.13127957137602908,0.1110943124275662,0.010676919106192076
2023-12-20,0.11276471457224839,0.10801250978076142,-0.09772726360879244
2023-12-21,0.10898288056656093,0.07117361399129642,0.09239028852515546
2023-12-22,0.08028889185800359,0.1229211880894909,0.02375856896424257
2023-12-25,0.12276461348480198,0.12332964580538486,0.024907270135722078
2023-12-26,0.1238434229492168,0.12087466794170827,-0.05484603612830877
2023-12-27,0.12199746550295172,0.13291259501024952,0.02847516769433105
2023-12-28,0.13070215715950514,0.09561803813362675,0.17721489627234913
2023-12-29,0.10116580246606374,0.17472561193343886,0.04785272455114687
2024-01-02,0.15895083808683114,0.17272469343679656,-0.08261158364802454
2024-01-03,0.15715113504373232,0.21937062643523217,-0.015144879590794543
2024-01-04,0.18739880485957808,0.2098662171218271,-0.049590833283777065
2024-01-05,0.18105440317214264,0.2276126919917327,-0.0296835746376166
2024-01-08,0.19135900327091773,0.10893897875819215,-0.06801736948057066
2024-01-09,0.11019282976859279,0.07513029452862745,0.017767561651258642
2024-01-10,0.0836571436118481,0.09262181289700215,-0.05593246760578584
2024-01-11,0.10021566679160802,0.0889174371715757,0.056293172384556604
2024-01-12,0.09928661167196912,0.11446803340572607,-0.035206448869457
2024-01-15,0.12345534842936368,0.11287607841640852,-0.008019785886952496
2024-01-16,0.12262617374666918,0.06653226865823031,0.049461027351523836
2024-01-17,0.08176809492176136,0.08032489166767039,-0.2689529489927608
2024-01-18,0.09408743420970891,0.18131287096954907,0.14920296707497965
2024-01-19,0.17104588767880038,0.21335823089830416,-0.008843846467662661
2024-01-22,0.19081760635185044,0.2125207548423329,-0.08218872906346758
